 Cause, Effect,Label,Topic_Cause,Topic_Effect,5w1h_effect,5w1h_cause
new competitors [2],increasing profits for our clients [13],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Increasing profits for clients', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'New competitors are entering the market.', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
new competitors [2],"increased speed efficiency, and lower cost [11]",causal,0_for_of_business_and,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Increased speed efficiency and lowered cost', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'New competitors are entering the market.', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
"increased speed efficiency, and lower cost [11]",increasing profits for our clients [13],causal,-1_in_and_to_increased,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Increasing profits for clients', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased speed efficiency and lowered cost', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
"increased speed efficiency, and lower cost [11]",increasing profits for our clients [13],causal,-1_in_and_to_increased,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Increasing profits for clients', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased speed efficiency and lowered cost', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
changing market driving the needs for new business model [15],increased importance of bundling products [16],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Increased importance of bundling products', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Businesses', 'What': 'Changing market conditions are driving the need for new business models.', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Changing market conditions', 'How': 'Not mentioned'}"
increased dependency on devices (e.g. IoT) [18],increased risk of cyber attacks [19],causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Increased risk of cyber attacks', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased dependency on devices like IoT', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
increased risk of cyber attacks [19],increase in data privacy regulations [20],causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Increase in data privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased risk of cyber attacks', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
currency appreciation against US dollar [22],higher revenue for multinational companies [23],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Multinational companies', 'What': 'Experience higher revenue', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency appreciation against US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
currency appreciation against US dollar [22],lower demand for USD [25],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Lower demand for US dollars', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency appreciation against US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
currency appreciation against US dollar [22],low price levels of goods and services [26],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Low price levels of goods and services', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency appreciation against US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
currency appreciation against US dollar [22],low inflation [27],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Low inflation', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency appreciation against US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
currency appreciation against US dollar [22],decreasing trade deficit or increasing surplus [28],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Decreasing trade deficit or increasing surplus', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency appreciation against US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
currency appreciation against US dollar [22],exchange outlook is positive [29],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Exchange outlook is positive', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency appreciation against US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
currency appreciation against US dollar [22],improved competitiveness [30],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Improved competitiveness', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency appreciation against US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
currency appreciation against US dollar [22],increased foreign direct investment [31],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Increased foreign direct investment', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency appreciation against US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
currency appreciation against US dollar [22],minimum or no black market FX rate [383],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Discussion about the existence of a black market foreign exchange rate', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency appreciation against US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
currency appreciation against US dollar [22],higher international reserves [384],causal,0_for_of_business_and,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Higher international reserves', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency appreciation against US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
currency appreciation against US dollar [22],strengthening economic environment [58],causal,0_for_of_business_and,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Strengthening economic environment', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency appreciation against US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
currency appreciation against US dollar [22],cheaper FX rate benefits net importer country [32],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Net importer countries', 'What': 'Benefit from cheaper foreign exchange rates', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Cheaper FX rates reduce the cost of importing goods and services.', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency appreciation against US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
cheaper FX rate benefits net importer country [32],decrease in price of commodity [91],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Decrease in price of a commodity', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Net importer countries', 'What': 'Benefit from cheaper foreign exchange rates', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Cheaper FX rates reduce the cost of importing goods and services.', 'How': 'Not mentioned'}"
currency appreciation against US dollar [22],disadvantaged FX rate hurts net exporter country [36],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Net exporter countries', 'What': 'Disadvantaged foreign exchange rate hurting economy', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency appreciation against US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
disadvantaged FX rate hurts net exporter country [36],local business motivated to cut cost to be more competitive on global market [387],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Local businesses', 'What': 'Cutting costs to be more competitive on the global market', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'To be more competitive on the global market', 'How': 'Not mentioned'}","{'Who': 'Net exporter countries', 'What': 'Disadvantaged foreign exchange rate hurting economy', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
disadvantaged FX rate hurts net exporter country [36],promote local business [240],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Promote local businesses', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Net exporter countries', 'What': 'Disadvantaged foreign exchange rate hurting economy', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
currency appreciation against US dollar [22],local corporations purchasing power increase [335],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Local corporations', 'What': 'Purchasing power increase', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency appreciation against US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
currency appreciation against US dollar [22],decrease in taxes [102],causal,0_for_of_business_and,1_government_in_increase_spending,"{'Who': 'Not mentioned', 'What': 'Decrease in taxes', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency appreciation against US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
currency depreciation against US dollar [39],outpaced currency black market exchange rate [40],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Outpaced currency black market exchange rate', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency depreciation against the US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}"
