, Cause, Effect,Label,Topic_Cause,Topic_Effect,5w1h_effect,5w1h_cause,llm_class
0,new competitors [2],increasing profits for our clients [13],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Increasing profits for clients', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'New competitors are entering the market.', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
1,new competitors [2],"increased speed efficiency, and lower cost [11]",causal,0_for_of_business_and,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Increased speed efficiency and lowered cost', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'New competitors are entering the market.', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",causal
2,"increased speed efficiency, and lower cost [11]",increasing profits for our clients [13],causal,-1_in_and_to_increased,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Increasing profits for clients', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased speed efficiency and lowered cost', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
3,"increased speed efficiency, and lower cost [11]",increasing profits for our clients [13],causal,-1_in_and_to_increased,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Increasing profits for clients', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased speed efficiency and lowered cost', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
4,changing market driving the needs for new business model [15],increased importance of bundling products [16],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Increased importance of bundling products', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Businesses', 'What': 'Changing market conditions are driving the need for new business models.', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Changing market conditions', 'How': 'Not mentioned'}",causal
5,increased dependency on devices (e.g. IoT) [18],increased risk of cyber attacks [19],causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Increased risk of cyber attacks', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased dependency on devices like IoT', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",causal
6,increased risk of cyber attacks [19],increase in data privacy regulations [20],causal,-1_in_and_to_increased,-1_in_and_to_increased,"{'Who': 'Not mentioned', 'What': 'Increase in data privacy regulations', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Increased risk of cyber attacks', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
7,currency appreciation against US dollar [22],higher revenue for multinational companies [23],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Multinational companies', 'What': 'Experience higher revenue', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency appreciation against US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
8,currency appreciation against US dollar [22],lower demand for USD [25],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Lower demand for US dollars', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency appreciation against US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",causal
9,currency appreciation against US dollar [22],low price levels of goods and services [26],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Low price levels of goods and services', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency appreciation against US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",non_causal
10,currency appreciation against US dollar [22],low inflation [27],causal,0_for_of_business_and,0_for_of_business_and,"{'Who': 'Not mentioned', 'What': 'Low inflation', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}","{'Who': 'Not mentioned', 'What': 'Currency appreciation against US dollar', 'When': 'Not mentioned', 'Where': 'Not mentioned', 'Why': 'Not mentioned', 'How': 'Not mentioned'}",causal
